	Ordinals	Employment Level	With Displacement
2010-03-31	733862	8100.1566739306145	8100.1566739306145
2010-06-30	733953	8123.958977633418	8123.958977633418
2010-09-30	734045	8148.022845113155	8148.022845113155
2010-12-31	734137	8172.086712592922	8172.086712592922
2011-03-31	734227	8195.627452518762	8195.627452518762
2011-06-30	734318	8219.429756221565	8219.429756221565
2011-09-30	734410	8243.493623701303	8243.493623701303
2011-12-31	734502	8267.557491181069	8267.557491181069
2012-03-31	734593	8291.359794883872	8291.359794883872
2012-06-30	734684	8315.162098586676	8315.162098586676
2012-09-30	734776	8339.225966066413	8339.225966066413
2012-12-31	734868	8363.28983354618	8363.28983354618
2013-03-31	734958	8386.83057347202	8386.83057347202
2013-06-30	735049	8410.632877174823	8410.632877174823
2013-09-30	735141	8434.69674465456	8434.69674465456
2013-12-31	735233	8458.760612134327	8458.760612134327
2014-03-31	735323	8482.301352060167	8482.301352060167
2014-06-30	735414	8506.10365576297	8506.10365576297
2014-09-30	735506	8530.167523242708	8530.167523242708
2014-12-31	735598	8554.231390722474	8554.231390722474
2015-03-31	735688	8577.772130648314	8577.772130648314
2015-06-30	735779	8601.574434351118	8601.574434351118
2015-09-30	735871	8625.638301830855	8625.638301830855
2015-12-31	735963	8649.702169310622	8649.702169310622
2016-03-31	736054	8673.504473013425	8673.504473013425
2016-06-30	736145	8697.306776716228	8697.306776716228
2016-09-30	736237	8721.370644195966	8721.370644195966
2016-12-31	736329	8745.434511675732	8745.434511675732
2017-03-31	736419	8768.975251601572	8768.975251601572
2017-06-30	736510	8792.777555304376	8792.777555304376
2017-09-30	736602	8816.841422784113	8816.841422784113
2017-12-31	736694	8840.90529026388	8840.90529026388
2018-03-31	736784	8864.44603018972	8864.44603018972
2018-06-30	736875	8888.248333892523	8888.248333892523
2018-09-30	736967	8912.31220137226	8912.31220137226
2018-12-31	737059	8936.376068852027	8936.376068852027
2019-03-31	737149	8959.916808777867	8959.916808777867
2019-06-30	737240	8983.71911248067	8889.148137316864
2019-09-30	737332	9007.782979960408	8818.641029632796
2019-12-31	737424	9031.846847440174	8748.133921948756
2020-03-31	737515	9055.649151142978	8677.365250487754
2020-06-30	737606	9079.451454845752	8606.596579026722
2020-09-30	737698	9103.515322325518	8536.08947134268
2020-12-31	737790	9127.579189805256	8465.582363658612
2021-03-31	737880	9151.119929731125	8394.552128420675
2021-06-30	737971	9174.9222334339	8323.783456959643
2021-09-30	738063	9198.986100913666	8253.276349275604
2021-12-31	738155	9223.049968393403	8182.769241591535
2022-03-31	738245	9246.590708319272	8111.739006353599
2022-06-30	738336	9270.393012022047	8040.970334892566
2022-09-30	738428	9294.456879501813	7970.463227208526
2022-12-31	738520	9318.52074698158	7899.956119524487
2023-03-31	738610	9342.06148690742	7828.92588428652
2023-06-30	738701	9365.863790610223	7758.1572128255175
2023-09-30	738793	9389.92765808996	7687.650105141449
2023-12-31	738885	9413.991525569727	7617.142997457409
2024-03-31	738976	9437.793829272501	7546.374325996378
2024-06-30	739067	9461.596132975304	7475.605654535374
2024-09-30	739159	9485.660000455071	7405.0985468513345
2024-12-31	739251	9509.723867934808	7334.591439167266
2025-03-31	739341	9533.264607860649	7263.5612039293
2025-06-30	739432	9557.066911563452	7192.792532468297
2025-09-30	739524	9581.130779043218	7122.285424784258
2025-12-31	739616	9605.194646522956	7051.778317100189
2026-03-31	739706	9628.735386448825	6980.748081862253
2026-06-30	739797	9652.5376901516	6909.979410401221
2026-09-30	739889	9676.601557631366	6839.472302717181
2026-12-31	739981	9700.665425111103	6768.965195033113
2027-03-31	740071	9724.206165036972	6697.934959795176
2027-06-30	740162	9748.008468739747	6627.166288334144
2027-09-30	740254	9772.072336219513	6556.659180650105
2027-12-31	740346	9796.13620369925	6486.152072966036
2028-03-31	740437	9819.938507402054	6415.383401505033
2028-06-30	740528	9843.740811104857	6344.614730044031
2028-09-30	740620	9867.804678584624	6274.107622359991
2028-12-31	740712	9891.868546064361	6203.600514675923
2029-03-31	740802	9915.409285990201	6132.570279437957
2029-06-30	740893	9939.211589693004	6061.801607976954
2029-09-30	740985	9963.275457172771	5991.294500292915
2029-12-31	741077	9987.339324652508	5920.787392608846
2030-03-31	741167	10010.880064578349	5849.75715737088
2030-06-30	741258	10034.682368281152	5778.988485909877
2030-09-30	741350	10058.746235760918	5708.481378225838
2030-12-31	741442	10082.810103240656	5637.974270541769
2031-03-31	741532	10106.350843166496	5566.9440353038035
2031-06-30	741623	10130.1531468693	5496.175363842801
2031-09-30	741715	10154.217014349066	5425.668256158761
2031-12-31	741807	10178.280881828803	5355.161148474693
2032-03-31	741898	10202.083185531606	5284.39247701369
2032-06-30	741989	10225.88548923441	5213.623805552687
2032-09-30	742081	10249.949356714176	5143.116697868648
2032-12-31	742173	10274.013224193914	5072.609590184579
2033-03-31	742263	10297.553964119754	5001.579354946613
2033-06-30	742354	10321.356267822557	4930.810683485611
2033-09-30	742446	10345.420135302324	4860.303575801571
2033-12-31	742538	10369.484002782061	4789.796468117503
2034-03-31	742628	10393.024742707901	4718.766232879537
2034-06-30	742719	10416.827046410704	4647.997561418534
2034-09-30	742811	10440.890913890471	4577.490453734495
2034-12-31	742903	10464.954781370208	4506.983346050426
2035-03-31	742993	10488.495521296049	4435.95311081246
2035-06-30	743084	10512.297824998852	4365.1844393514575
2035-09-30	743176	10536.361692478618	4294.677331667418
2035-12-31	743268	10560.425559958356	4224.170223983349
